id_concept,iate_link,en_def,en,cs,da,de,es,fi,fr,it,nl,pt,domains
1196107,https://iate.europa.eu/entry/result/1196107,"enveloped non-segmented, single-stranded, positive-sense RNA virus in the order of Nidovirales, named after its corona- or crown-like surface projection seen on electron microscopy that correspond to a large surface spike protein - COM-Terminology Coordination, based on: Susan M. Poutanen. '222 - Human Coronaviruses' (9.4.2020). In: Principles and Practice of Pediatric Infectious Diseases (Fourth Edition) (9.4.2020)
Part III, 2012, Pages 1117-1120.e4","coronavirus, CoV, corona virus","koronavirus, koronavir, CoV","coronavirus, CoV","Coronavirus, CoV","coronavirus, CoV","koronavirus, CoV","coronavirus, CoV, virus corona","coronavirus, CoV","coronavirus, CoV",coronavírus,"SOCIAL QUESTIONS > health > medical science > epidemiology > disease vector, SCIENCE > natural and applied sciences > life sciences"
3510353,https://iate.europa.eu/entry/result/3510353,"measure of a test's ability to identify positive results, i.e. the proportion of actual positives which are correctly identified as such - COM-EN, based on: 
Wikipedia. Sensitivity and specificity (29.4.2020)",diagnostic sensitivity,"diagnostická citlivost, diagnostická senzitivita",diagnostisk sensitivitet,diagnostische Sensitivität,sensibilidad diagnóstica,diagnostinen herkkyys,sensibilité diagnostique,sensibilità diagnostica,"diagnostische sensitiviteit, diagnostische gevoeligheid","sensibilidade diagnóstica, sensibilidade de diagnóstico","SOCIAL QUESTIONS > health > medical science, AGRICULTURE, FORESTRY AND FISHERIES > agricultural activity > animal health, SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device"
1099872,https://iate.europa.eu/entry/result/1099872,"any of several laboratory procedures carried out on a sample of blood serum to detect serum antibodies, antibody-like substances, or antigens that appear specifically in association with certain diseases - COM-Terminology Corodination, based on: 
1) ""serological test."" (4.5.2020) Encyclopædia Britannica. Encyclopædia Britannica Online Academic Edition. Encyclopædia Britannica Inc., 2012.2) WHO Recommendations on the Diagnosis of HIV Infection in Infants and Children. Geneva: World Health Organization; 2010. 5, LABORATORY METHODS FOR DIAGNOSIS OF HIV INFECTION IN INFANTS AND CHILDREN (4.5.2020)",serological test,"sérologické vyšetření, serologické vyšetření",,"serologische Untersuchung, serologischer Test","prueba serológica, test serológico","serologinen testi, serologinen tutkimus","test sérologique, examen sérologique","prova sierologica, test sierologico",serologische test,"teste serológico, seroteste",SOCIAL QUESTIONS > health > medical science
774241,https://iate.europa.eu/entry/result/774241,"people directly involved in teaching students, including classroom teachers, special education teachers and other teachers who work with students as a whole class, in small groups, or in one-to-one teaching - Council-EN, based on: 
OECD Data (28.7.2020)","teaching staff, the staff, staff","akademický pracovník, pedagogický pracovník","lærere, lærerstab, lærerkollegium, lærerkorps, undervisningsstab",Lehrkräfte,,opetushenkilöstö,"personnel enseignant, corps enseignant",corpo docente,"leerkrachten, onderwijzend personeel, lesgevers",pessoal docente,EDUCATION AND COMMUNICATIONS > organisation of teaching > school life > school environment > teacher
1529957,https://iate.europa.eu/entry/result/1529957,"cell signaling molecule belonging to the cytokine group and which interferes with viral replication - COM-Terminology Coordination, based on:Vinicius L. Ferreira, Helena H.L. Borba, Aline de F. Bonetti, Leticia P. Leonart and Roberto Pontarolo. 'Cytokines and Interferons: Types and Functions' (23.4.2020). Intechopen","interferon, IFN",,interferon,"Interferon, IFN","interferón, INF",interferoni,"interféron, IFN, INF","interferon, interferone, INF, IFN",interferon,interferão,SOCIAL QUESTIONS > health > illness > infectious disease
34937,https://iate.europa.eu/entry/result/34937,"in the framework of mutual recognition procedure, Member State(s) to
which the reference Member State (RMS) submits their evaluation of the product to be mutually recognised and which will, if the applicant is successful, will then issue a marketing authorisation for that product permitting the marketing of that product in their country - COM-Terminology Coordination, based on:Heads of Medicines Agencies (HMA) &gt; 'Medicines Approval system &gt; What is the Mutual Recognition procedure?' (19.5.2020)","concerned Member State, CMS",,berørte medlemsstater,"betroffene Mitgliedstaaten, betroffene Mitgliedsstaaten",,asianomainen jäsenvaltio,,,belanghebbende lidstaten,"Estado-Membro interessado, EMI","SOCIAL QUESTIONS > health > pharmaceutical industry, EUROPEAN UNION > EU institutions and European civil service > EU office or agency > European Medicines Agency"
909445,https://iate.europa.eu/entry/result/909445,"user of medical devices who does not have formal education in a relevant field of healthcare or medical discipline - COM-Term. Coord., based i.a. on A. S. Cifter and H. Dong, ""Lay-User Characteristics Reflected by Their Interaction with a Digital Camera and a Blood Pressure Monitor"" ISSN:0963-5432, http://bura.brunel.ac.uk/handle/2438/4571 [29.10.2012]","lay user, lay-user, lay person","laický uživatel, laická osoba",lægmand,"Laienanwender, Laie","profano, usuario lego","maallikko, muu kuin ammattikäyttäjä","utilisateur profane, profane",utilizzatore profano,"leek, onervaren gebruiker","utilizador leigo, leigo","SOCIAL QUESTIONS > health, SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device"
3588240,https://iate.europa.eu/entry/result/3588240,"terminally sterilised parenteral solution packaged in unit dose containers of greater than 100ml - COM-Terminology Coordination, based on:The Pharmaceutics and Compounding Laboratory. Large Volume Parenteral (LVP) Solutions (7.4.2020). UNC Eshelman School of Pharmacy. ","large-volume parenteral, LVP, large volume parenteral solution, LVP solution","velkoobjemový parenterální přípravek, velkoobjemový parenterální roztok","opløsning til parenteral administration af stor volumen, parenteral opløsning af stor volumen, parenteral administration af stor volumen",großvolumiges Parenteralium,"parenteral de gran volumen, solución parenteral de gran volumen",suuritilavuuksinen infuusio,"préparation parentérale en grand volume, LVP, préparation parentérale à grand volume, solution parentérale de grand volume",soluzione parenterale di grande volume,"parenterale formulering met een groot volume, grote hoeveelheid parenterale geneesmiddelen","solução parenteral de grande volume, SPGV",SOCIAL QUESTIONS > health > pharmaceutical industry > pharmaceutical product > medicament
2222229,https://iate.europa.eu/entry/result/2222229,"umbrella term for various types of online collaborative services, including webinars, webcasts, and peer-level web meetings - Wikipedia &gt; webconferencing, https://en.wikipedia.org/wiki/Web_conferencing (27.5.2020)","webconference, web conference, webconferencing, online conference, virtual conference","webová konference, e-konference","webkonference, webmøde, onlinekonference, onlinemøde","Webkonferenz, Web-Konferenz",conferencia en línea,"verkkoneuvottelu, verkkokokous, verkkokonferenssi","cyberconférence, conférence web, conférence en ligne, webconférence","conferenza online, web conference",webconferentie,"conferência em linha, conferência Web","EDUCATION AND COMMUNICATIONS > communications > communications industry > information technology, EDUCATION AND COMMUNICATIONS > communications > communications systems > telecommunications"
1863832,https://iate.europa.eu/entry/result/1863832,"level of biological safety of a laboratory - World Health Organisation &gt; Communicable Disease Surveillance &amp; Response (CSR) &gt; Laboratory Biosafety Manual, third edition, http://www.who.int/csr/resources/publications/biosafety/en/Biosafety7.pdf (11.3.2008)","biosafety level, BSL, containment level","úroveň biologické bezpečnosti, úroveň bezpečnosti","biologisk miljøsikkerhedsniveau, biosikkerhedsniveau, indeslutningsniveau",Biosicherheitsstufe,"nivel de bioseguridad, nivel de seguridad biológica","bioturvallisuustaso, eristystaso","niveau de biosécurité, niveau de sécurité biologique, NSB",livello di biosicurezza,bioveiligheidsniveau,"nível de biossegurança, nível de segurança biológica","POLITICS > politics and public safety > public safety, SOCIAL QUESTIONS > health > health policy"
3555481,https://iate.europa.eu/entry/result/3555481,"framework for cooperation between national audit
oversight bodies at EU level - European Commission &gt; Business, Economy, Euro 
&gt; Banking and finance &gt; Financial reforms and their progress &gt; 
Regulatory process in financial services &gt; Expert groups, comitology 
and other committees &gt; Other consultative bodies &gt; Committee of European Auditing Oversight Bodies (11.5.2020)","Committee of European Auditing Oversight Bodies, CEAOB","Výbor evropských orgánů dohledu nad auditem, výbor CEAOB, CEAOB",,"Ausschuss der Europäischen Aufsichtsstellen für Abschlussprüfer, Ausschuss der Aufsichtsstellen","Comisión de Organismos Europeos de Supervisión de Auditores, COESA","Euroopan tilintarkastajien valvontaelinten komitea, CEAOB","comité des organes européens de supervision de l'audit, CEAOB","comitato degli organismi europei di controllo delle attività di revisione contabile, CEAOB","Comité van Europese auditorstoezichthouders, CEAOB",Comité dos Organismos Europeus de Supervisão de Auditoria,"BUSINESS AND COMPETITION > accounting > management accounting > auditing > financial audit, TRADE > trade policy > trade policy > market intervention > market supervision, BUSINESS AND COMPETITION > accounting > management accounting > auditing > compliance audit"
1685660,https://iate.europa.eu/entry/result/1685660,"condition where arterial oxygen tension (Pao2) is below normal - COM-Terminology Coordination, based on: Samuel J., Franklin C. (2008) 'Hypoxemia and Hypoxia' (5.5.2020). In: Myers J.A., Millikan K.W., Saclarides T.J. (eds) Common Surgical Diseases. Springer, New York, NY","hypoxaemia, hypoxemia",,hypoxæmi,Hypoxämie,hipoxemia,"hypoksemia, veren vähähappisuus",hypoxémie,ipossiemia,verlaging van het zuurstofgehalte in bloed,hipoxemia,SOCIAL QUESTIONS > health > medical science
786589,https://iate.europa.eu/entry/result/786589,the buying and selling of goods and services between countries - Council-EN based on: DailyFX: Trade Flows and Capital Flows (22.4.2020),trade flow,"obchodní tok, obchodní toky","handelsstrøm, samhandel",Handelsstrom,,kauppavirta,"courant d'échanges, courant commercial, flux commercial, flux des échanges commerciaux","flusso commerciale, flusso di scambi, corrente di scambi, corrente di scambio","handelsstroom, handelsverkeer",fluxo comercial,TRADE > international trade > international trade
1196199,https://iate.europa.eu/entry/result/1196199,"myocardial disorder in which the heart muscle is structurally and functionally abnormal, in the absence of coronary artery disease, hypertension, valvular disease and congenital heart disease sufficient to cause the observed myocardial abnormality - COM-Central Terminology, based on: ESC Working Group on Myocardial Pericardial Diseases (Elliott P et al. EHJ 2007). In: European Commission. 'Covid-19 &amp; Cardiomyopathies' (13.5.2020)",cardiomyopathy,kardiomyopatie,"kardiomyopati, myokardiopati","Kardiomyopathie, Myokardiopathie",cardiomiopatía,"kardiomyopatia, sydänlihassairaus",,"cardiomiopatia, miocardiopatia",,cardiomiopatia,SOCIAL QUESTIONS > health > illness
1065129,https://iate.europa.eu/entry/result/1065129,"any pluripotent cell found in bone marrow that can differentiate into a variety of cell types found in the skeletal tissues, such as bone cells (osteoblasts), cartilage cells (chondrocytes), and fat cells (adipocytes) - COM-EN, based on:EuroStemCell. 'Mesenchymal stem cells: the 'other' bone marrow stem cells' (20.5.2020)","MSC, mesenchymal stem cell",,,mesenchymale Stammzelle,"célula madre mesenquimal, célula troncal del mesénquina",mesenkymaalinen kantasolu,"cellule souche mésenchymateuse, CSM","cellula staminale mesenchimatica, MSC, cellula staminale mesenchimale",,célula estaminal mesenquimal,SOCIAL QUESTIONS > health > medical science
3590316,https://iate.europa.eu/entry/result/3590316,"platform developed by International 
Institute for Democracy and Electoral Assistance to track the impact of the 
COVID-19 pandemic on democracy and human rights around the world - COM-HU based on: COM-Internal document: PP-2020-01308-00-00","Global Monitor on Democracy and Human Rights, Global Monitor of COVID19´s Impact on Democracy and Human Rights, Global Monitor",,,,,,,,,"Observatório Global da Democracia e dos Direitos Humanos, Observatório Global do Impacto da COVID-19 na Democracia e Direitos Humanos","SOCIAL QUESTIONS > health > illness > epidemic, POLITICS > political framework > political philosophy > democracy, LAW > rights and freedoms > human rights"
1196217,https://iate.europa.eu/entry/result/1196217,"process of transmission of communicable diseases in which several events happen one after the other in the form of a chain - COM-Terminology Coordination, based on:The Open University. Communicable Diseases Module: 1. Basic Concepts in the Transmission of Communicable Diseases
Study <a href=""https://www.open.edu/openlearncreate/mod/oucontent/view.php?id=84&amp;printable=1"" target=""_blank"">'Session 1 Basic Concepts in the Transmission of Communicable Diseases' (5.5.2020)","chain of transmission, infection chain, infection transmission chain","řetězec přenosu, řetězec nákazy","smittekæde, overførselskæde","Infektionskette, Infektkette, Übertragungsstafette","cadena epidemiológica, cadena de transmisión, cadena de contagios",tartuntaketju,"chaîne de transmission, chaîne de contamination, chaîne de l'infection","catena di trasmissione, catena di infezione, catena epidemiologica","infectieketen, besmettingsketen",cadeia de transmissão,"SOCIAL QUESTIONS > health > medical science > epidemiology, SOCIAL QUESTIONS > health > illness > infectious disease, SOCIAL QUESTIONS > health > illness"
3582137,https://iate.europa.eu/entry/result/3582137,"independent monitoring and accountability body to ensure preparedness for global health crises, convened by the World Health Organization and the World Bank Group and formally launched in May 2018 - Global Preparedness Monitoring Board &gt; About us (23.9.2019)","Global Preparedness Monitoring Board, GPMB, Global Preparedness Monitory Board",Rada pro monitoring globální připravenosti,,"Monitoringausschuss für weltweite Krisenprävention, GPMB","Junta de Vigilancia Mundial de la Preparación, GPMB",maailmanlaajuinen epidemiavalmiuksien seurantaelin,"Conseil mondial de suivi de la préparation, GPMB, Conseil de suivi de la préparation à l’échelle mondiale","Global Preparedness Monitoring Board, GPMB, Consiglio di monitoraggio della preparazione globale","Adviesraad inzake wereldwijde paraatheid, GPMB",Conselho de Monitorização da Preparação Global,SOCIAL QUESTIONS > health
389315,https://iate.europa.eu/entry/result/389315,"any medicinal product, medical device, or other item or service aimed at combating a serious threat to health - Council-EN, based on: European Commission &gt; DG Health &amp; Consumers &gt; Public health &gt; Preparedness and response &gt; Key documents &gt; Explanatory Note on the Joint Procurement Initiative (26.5.2020), December 2015.",medical countermeasure,lékařské protiopatření,medicinsk modforanstaltning,medizinische Gegenmaßnahme,contramedida médica,lääketieteellinen vastatoimi,,contromisura medica,"medische tegenmaatregel, medische remedie",contramedidas médicas,"SOCIAL QUESTIONS > health > health policy > organisation of health care, SOCIAL QUESTIONS > health > health policy"
1886414,https://iate.europa.eu/entry/result/1886414,"protease inhibitor used as a pharmacokinetic enhancer and as an antiretroviral agent - COM-Terminology Coordination, based on: European Medicines Agency. 'Norvir' (1.4.2020). ",ritonavir,ritonavir,ritonavir,Ritonavir,ritonavir,ritonaviiri,ritonavir,ritonavir,ritonavir,ritonavir,SOCIAL QUESTIONS > health > pharmaceutical industry > pharmaceutical product > medicament
1915095,https://iate.europa.eu/entry/result/1915095,"any crisis or serious incident arising from a threat of human, animal, plant, food or environment origin, having a health dimension and which requires urgent action by authorities - <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52020PC0405"" target=""_blank"">Proposal for a Regulation on the establishment of a Programme for the Union's action in the field of health –for the period 2021-2027 and repealing Regulation (EU) No 282/2014 (“EU4Health Programme”)",health crisis,zdravotní krize,,Gesundheitskrise,,terveyskriisi,crise sanitaire,crisi sanitaria,gezondheidscrisis,crise sanitária,"SOCIAL QUESTIONS > health, EUROPEAN UNION > EU finance"
1534169,https://iate.europa.eu/entry/result/1534169,"person who may or may not have contracted a communicable disease following either proximity to, or contact with, an infected person - COM-Terminology Coordination, based on: <a href=""http://books.google.be/books?id=x1hfmZzKVbYC&amp;pg=PA125&amp;dq=%22+person+who+may+or+may+not+have+contracted+a+communicable+%22&amp;hl=fr&amp;ei=mkr2TL6FLY7oOdP-iKsI&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCkQ6AEwAA#v=onepage&amp;q=%22%20person%20who%20may%20or%20may%20not%20have%20contracted%20a%20communicable%20%22&amp;f=false [1.12.2010]"" target=""_blank"">'International medical guide for ships: including the ship's medicine chest' (26.3.2020). World Health Organization. 1988",contact,"osoba potenciálně riziková vzhledem ke kontaktu s infikovanou osobou, kontakt nakažené osoby, kontakt","kontakt, kontaktperson, nær kontakt, mistænkt smittebærer",Kontaktperson,contacto,"kontakti, kontaktihenkilö","cas contact, sujet-contact","contatto, persona che è stata a contatto con un malato",contact,"contacto, portador, comunicante",SOCIAL QUESTIONS > health > medical science > epidemiology
1575131,https://iate.europa.eu/entry/result/1575131,"phone call in which more than two people take part - Collins Dictionary &gt; conference call, https://www.collinsdictionary.com/dictionary/english/conference-call (25.5.2020)",conference call,konferenční hovor,"konferenceopkald, konferencesamtale, gruppesamtale, gruppekald","Telefonkonferenz, Konferenzanruf, Konferenzruf",conferencia telefónica,neuvottelupuhelu,"conférence téléphonique, réunion par téléphone, réunion téléphonique, communication conférence","conferenza telefonica, conference call","conferencecall, conferentiegesprek","conferência telefónica, chamada de conferência, serviço de chamada em conferência","EDUCATION AND COMMUNICATIONS > communications > communications industry > information technology, EDUCATION AND COMMUNICATIONS > communications > communications systems > telecommunications"
1667295,https://iate.europa.eu/entry/result/1667295,"drug which causes reversible loss, partial or complete, of sensation - COM-EN, based on: Gordon FN Smith. Anaesthetic  (4.6.2020)","anaesthetic, anesthetic anesthetics anaesthetics, anaesthetic agent",anestetikum,,"Anästhetikum, Narkosemittel",anestésico,"anesteetti, anestesia-aine, nukutusaine, puudutusaine, puudute","anesthésique, agent anesthésique, anesthésiant, produit anesthétique","anestetico, agente anestetico","anestheticum, verdovingsmiddel, narcosemiddel, anesthesieproduct, anesthesiemedicatie, verdoving","anestésico, produto anestésico",SOCIAL QUESTIONS > health > pharmaceutical industry
895199,https://iate.europa.eu/entry/result/895199,"public health measures that attempt to slow and limit the spread of communicable diseases - COM-Terminology Coordination, based on: 'Delaware Contagious Disease Containment Measures Plan (18.3.2020)', State of Delaware. Delaware Health and Social Services. Division of Public Health. July 2008.",containment measures,"opatření proti šíření nákazy, opatření kontejnmentu, opatření k omezení šíření nákazy","inddæmningstiltag, inddæmningsforanstaltninger, tiltag til inddæmning, foranstaltninger til at inddæmme",Eindämmungsmaßnahmen,medida de contención,"rajoittamistoimenpiteet, eristämistoimenpiteet",mesure de confinement,misure di contenimento,"inperkingsmaatregelen, beperkende maatregelen",medidas de contenção,"SOCIAL QUESTIONS > health > illness > epidemic, SOCIAL QUESTIONS > health > health policy > organisation of health care > public health"
